round,client,epoch,loss,eval_loss,accuracy,f1
1,1,1.0,0.7085,,,
1,1,2.0,0.5273,,,
1,1,2.0,,,,
1,2,1.0,0.8194,,,
1,2,2.0,0.65,,,
1,2,2.0,,,,
1,3,1.0,0.8765,,,
1,3,2.0,0.6448,,,
1,3,2.0,,,,
1,4,1.0,0.7171,,,
1,4,2.0,0.5209,,,
1,4,2.0,,,,
2,1,1.0,0.5277,,,
2,1,2.0,0.3908,,,
2,1,2.0,,,,
2,2,1.0,0.7133,,,
2,2,2.0,0.5577,,,
2,2,2.0,,,,
2,3,1.0,0.6947,,,
2,3,2.0,0.4788,,,
2,3,2.0,,,,
2,4,1.0,0.5875,,,
2,4,2.0,0.4152,,,
2,4,2.0,,,,
3,1,1.0,0.3596,,,
3,1,2.0,0.3008,,,
3,1,2.0,,,,
3,2,1.0,0.6292,,,
3,2,2.0,0.5008,,,
3,2,2.0,,,,
3,3,1.0,0.6612,,,
3,3,2.0,0.4366,,,
3,3,2.0,,,,
3,4,1.0,0.4774,,,
3,4,2.0,0.3515,,,
3,4,2.0,,,,
